method,env,metric,value
RL-PPO,Motion2D-p0-v0,total_episodes,250
RL-PPO,Motion2D-p0-v0,num_seeds,5
RL-PPO,Motion2D-p0-v0,success_rate_mean,0.9480000000000001
RL-PPO,Motion2D-p0-v0,success_rate_std,0.06572670690061995
RL-PPO,Motion2D-p0-v0,successful_steps_mean,39.527426160337555
RL-PPO,Motion2D-p0-v0,successful_steps_std,0.5003038481754637
RL-PPO,Motion2D-p0-v0,successful_steps_mean_per_seed,39.5273829787234
RL-PPO,Motion2D-p0-v0,successful_steps_std_per_seed,0.057650721625479295
RL-PPO,Motion2D-p2-v0,total_episodes,250
RL-PPO,Motion2D-p2-v0,num_seeds,5
RL-PPO,Motion2D-p2-v0,success_rate_mean,0.0
RL-PPO,Motion2D-p2-v0,success_rate_std,0.0
RL-PPO,Motion2D-p2-v0,successful_steps_mean,
RL-PPO,Motion2D-p2-v0,successful_steps_std,
RL-PPO,Motion2D-p2-v0,successful_steps_mean_per_seed,
RL-PPO,Motion2D-p2-v0,successful_steps_std_per_seed,
RL-PPO,StickButton2D-b1-v0,total_episodes,250
RL-PPO,StickButton2D-b1-v0,num_seeds,5
RL-PPO,StickButton2D-b1-v0,success_rate_mean,0.07200000000000001
RL-PPO,StickButton2D-b1-v0,success_rate_std,0.02683281572999748
RL-PPO,StickButton2D-b1-v0,successful_steps_mean,15.944444444444445
RL-PPO,StickButton2D-b1-v0,successful_steps_std,15.210183207398076
RL-PPO,StickButton2D-b1-v0,successful_steps_mean_per_seed,15.180000000000001
RL-PPO,StickButton2D-b1-v0,successful_steps_std_per_seed,9.450796556669472
RL-PPO,StickButton2D-b3-v0,total_episodes,250
RL-PPO,StickButton2D-b3-v0,num_seeds,5
RL-PPO,StickButton2D-b3-v0,success_rate_mean,0.0
RL-PPO,StickButton2D-b3-v0,success_rate_std,0.0
RL-PPO,StickButton2D-b3-v0,successful_steps_mean,
RL-PPO,StickButton2D-b3-v0,successful_steps_std,
RL-PPO,StickButton2D-b3-v0,successful_steps_mean_per_seed,
RL-PPO,StickButton2D-b3-v0,successful_steps_std_per_seed,
RL-SAC,Motion2D-p0-v0,total_episodes,250
RL-SAC,Motion2D-p0-v0,num_seeds,5
RL-SAC,Motion2D-p0-v0,success_rate_mean,0.0
RL-SAC,Motion2D-p0-v0,success_rate_std,0.0
RL-SAC,Motion2D-p0-v0,successful_steps_mean,
RL-SAC,Motion2D-p0-v0,successful_steps_std,
RL-SAC,Motion2D-p0-v0,successful_steps_mean_per_seed,
RL-SAC,Motion2D-p0-v0,successful_steps_std_per_seed,
RL-SAC,Motion2D-p2-v0,total_episodes,250
RL-SAC,Motion2D-p2-v0,num_seeds,5
RL-SAC,Motion2D-p2-v0,success_rate_mean,0.0
RL-SAC,Motion2D-p2-v0,success_rate_std,0.0
RL-SAC,Motion2D-p2-v0,successful_steps_mean,
RL-SAC,Motion2D-p2-v0,successful_steps_std,
RL-SAC,Motion2D-p2-v0,successful_steps_mean_per_seed,
RL-SAC,Motion2D-p2-v0,successful_steps_std_per_seed,
RL-SAC,StickButton2D-b1-v0,total_episodes,250
RL-SAC,StickButton2D-b1-v0,num_seeds,5
RL-SAC,StickButton2D-b1-v0,success_rate_mean,0.012
RL-SAC,StickButton2D-b1-v0,success_rate_std,0.010954451150103323
RL-SAC,StickButton2D-b1-v0,successful_steps_mean,246.33333333333334
RL-SAC,StickButton2D-b1-v0,successful_steps_std,29.36551265231604
RL-SAC,StickButton2D-b1-v0,successful_steps_mean_per_seed,246.33333333333334
RL-SAC,StickButton2D-b1-v0,successful_steps_std_per_seed,29.36551265231604
RL-SAC,StickButton2D-b3-v0,total_episodes,250
RL-SAC,StickButton2D-b3-v0,num_seeds,5
RL-SAC,StickButton2D-b3-v0,success_rate_mean,0.0
RL-SAC,StickButton2D-b3-v0,success_rate_std,0.0
RL-SAC,StickButton2D-b3-v0,successful_steps_mean,
RL-SAC,StickButton2D-b3-v0,successful_steps_std,
RL-SAC,StickButton2D-b3-v0,successful_steps_mean_per_seed,
RL-SAC,StickButton2D-b3-v0,successful_steps_std_per_seed,
ImitationLearning-DiffusionPolicy,Motion2D-p0-v0,train_demonstrations,111
ImitationLearning-DiffusionPolicy,Motion2D-p0-v0,train_environment steps,4634
ImitationLearning-DiffusionPolicy,Motion2D-p0-v0,success rate_mean,0.9640000000000001
ImitationLearning-DiffusionPolicy,Motion2D-p0-v0,success rate_std,0.008000000000000007
ImitationLearning-DiffusionPolicy,Motion2D-p0-v0,success rate_min,0.96
ImitationLearning-DiffusionPolicy,Motion2D-p0-v0,success rate_max,0.98
ImitationLearning-DiffusionPolicy,Motion2D-p0-v0,wall clock time per episode_mean,5.489934822082519
ImitationLearning-DiffusionPolicy,Motion2D-p0-v0,wall clock time per episode_std,1.19754354547676
ImitationLearning-DiffusionPolicy,Motion2D-p0-v0,wall clock time per episode_min,3.098237648010254
ImitationLearning-DiffusionPolicy,Motion2D-p0-v0,wall clock time per episode_max,6.179814763069153
ImitationLearning-DiffusionPolicy,Motion2D-p0-v0,steps per success episode_mean,42.940136054421764
ImitationLearning-DiffusionPolicy,Motion2D-p0-v0,steps per success episode_std,1.2355727005345583
ImitationLearning-DiffusionPolicy,Motion2D-p0-v0,steps per success episode_min,41.541666666666664
ImitationLearning-DiffusionPolicy,Motion2D-p0-v0,steps per success episode_max,44.875
ImitationLearning-DiffusionPolicy,Motion2D-p2-v0,train_demonstrations,112
ImitationLearning-DiffusionPolicy,Motion2D-p2-v0,train_environment steps,9045
ImitationLearning-DiffusionPolicy,Motion2D-p2-v0,success rate_mean,0.932
ImitationLearning-DiffusionPolicy,Motion2D-p2-v0,success rate_std,0.027129319932501058
